Time,F_Scale,Location,County,State,Lat,Lon,Comments
2202,100,Strasburg,Cass,MO,38.76,-94.17,Social media report of quarter size hail in the Strasburg area. Time estimated from radar. (EAX)
2204,175,7 SW Mount Moriah,Harrison,MO,40.26,-93.89,Several social media reports of hail up to golf ball size east of Bethany. Time estimated from radar. (EAX)
2206,100,1 SW Maywood,Jackson,MO,39.08,-94.46,Video from social media shows estimated quarter sized hail. Time taken from social media and confirmed by radar. (EAX)
2206,100,Mecca,Trumbull,OH,41.39,-80.72,Intersection of SR 88 and Phillips Rice Rd. (CLE)
2210,100,1 NW Independence,Jackson,MO,39.1,-94.43,Time estimated from radar. (EAX)
2211,100,2 NW Merriam,Wyandotte,KS,39.05,-94.71,Report from mPING: Quarter (1.00 in.). (EAX)
2213,150,3 N Orangeville,Mercer,PA,41.39,-80.52,Report from mPING: Ping Pong Ball (1.50 in.). (PBZ)
2214,175,2 NE Orangeville,Mercer,PA,41.37,-80.51,(PBZ)
2214,125,3 W Greenville,Mercer,PA,41.39,-80.43,(PBZ)
2216,100,Bainbridge,Geauga,OH,41.39,-81.34,Public report of significant accumulation of one inch and greater hail. (CLE)
2220,175,3 SW Graham,Young,TX,33.07,-98.62,Golf ball sized hail reported by Hraham PD at HWY 67 near Medlan Chapen Rd. (FWD)
2220,100,4 SW Raytown,Jackson,MO,38.96,-94.51,Report from mPING: Quarter (1.00 in.). (EAX)
2220,100,1 SW Kansas City Kansas,Wyandotte,KS,39.11,-94.63,Report from mPING: Quarter (1.00 in.). (EAX)
2220,125,3 WNW Trenton,Grundy,MO,40.1,-93.68,Half dollar sized hail reported at Crowder State Park. (EAX)
2222,100,Greenville,Mercer,PA,41.41,-80.38,(PBZ)
2226,100,3 NW Oak Grove,Jackson,MO,39.04,-94.15,Report from mPING: Quarter (1.00 in.). (EAX)
2227,150,1 SSW Graham,Young,TX,33.08,-98.58,Photos on X showed ping pong ball size hail on the south side of Graham along Hwy 16. (FWD)
2230,100,4 SW Graham,Young,TX,33.06,-98.63,(FWD)
2230,100,Wadsworth,Medina,OH,41.02,-81.73,Mainly dime to penny-sized but some as large as quarters. (CLE)
2230,150,3 NE Fredonia,Mercer,PA,41.35,-80.23,Public shared a picture of ping pong ball size hail on social media. Time estimated based off radar. (PBZ)
2231,100,3 S Vinton,Benton,IA,42.12,-92.03,(DVN)
2234,100,5 ESE Clare,Johnson,KS,38.81,-94.78,Report relayed via social media. Time estimated from radar. (EAX)
2234,100,3 S Sheakleyville,Mercer,PA,41.4,-80.22,Report from mPING: Quarter (1.00 in.). (PBZ)
